area_code,customer_code,sku_code,gsv,,
E41590,E50866,21148869,4958.59,,
E41590,E50866,21148870,4195.73,,
E41590,E50866,21148868,6102.88,,
E41590,E50866,65002840,54647.3,,
E41590,E50866,65002849,2750018.44,,
E41590,E50866,21140941,67309.07,,
E41590,E50866,21141274,1759094.43,,
E41590,E50866,21141195,440840.19,,
E41590,E50866,21141222,432483.03,,
E41590,E50866,21141274,307125.63,,
E41590,E50866,21141274,-87.75,,
E41590,E50866,21141222,2711722.92,,
E41590,E50866,21141195,2805828.72,,
E41590,E50866,21008979,4019101.96,,
E41590,E50866,21009048,560815.26,,
E41590,E50866,21009048,-1751.22,,
E41590,E50866,21008977,49689.84,,
E41590,E50866,21008977,1661530.14,,
E41590,E50866,65003263,-3207.19,,
E41590,E50866,21045983,-93.13,,
E41590,E50866,65003263,1259309.6,,
E41590,E50866,21045983,4645986.25,,
E41590,E50866,21045983,571028.59,,
E41590,E50866,21000767,-209.83,,
E41590,E50866,21000763,188279.66,,
E41590,E50866,21000765,9673218.99,,
E41590,E50866,21000769,3526040.1,,
E41590,E50866,21000773,1694702.67,,
E41590,E50866,21000773,-313.02,,
E41590,E50866,21000769,-471.42,,
E41590,E50866,21000765,-362.05,,
E41590,E50866,21000773,-940.97,,
E41590,E50866,21000769,-313.03,,
E41590,E50866,21000765,-77.31,,
E41590,E50866,21000767,72688.75,,
E41590,E50866,21000771,44147.48,,
E41590,E50866,21000767,-3.7,,
E41590,E50866,21012084,74543.51,,
E41590,E50866,21039110,1619183.96,,
E41590,E50866,21039111,1164800.12,,
E41590,E50866,21039792,1485355.75,,
E41590,E50866,21039110,2363882.51,,
E41590,E50866,21039111,1191477.03,,
E41590,E50866,21039792,43826.25,,
E41590,E50866,21054827,8149644.09,,
E41590,E50866,21039113,2276559.96,,
E41590,E50866,21018172,2263314.65,,
E41590,E50866,21039113,2832908.94,,
E41590,E50866,21039115,461861.25,,
E41590,E50866,21041422,1708035.41,,
E41590,E50866,21054829,11529548.66,,
E41590,E50866,21137489,513775.94,,
E41590,E50866,21137551,1458548.39,,
E41590,E50866,21137551,245517.48,,
E41590,E50866,21137551,30310.7,,
E41590,E50866,21137551,672390,,
E41590,E50866,21137489,219053.82,,
E41590,E50866,21137489,-249.39,,
E41590,E50866,21137551,-151.74,,
E41590,E50866,65024857,457921.71,,
E41590,E50866,65038308,-171.53,,
E41590,E50866,65038308,1210411.01,,
E41590,E50866,65003451,568110.51,,
